binary_id,sid,old_label,old_cwe,new_label,new_cwe,kind,nearest_sid,nearest_bid,dist,one_error_drop_est,body_pred,body_prob,old_prob,new_prob
BIN_1812963,4913,1,CWE-126,1,CWE-121,,4912,BIN_2813467,1,1.7772454670776952e-05,CWE-121,0.4430847868207047,0.3768317475316505,0.4430847868207047
BIN_1938615,10838,1,CWE-122,1,CWE-126,,10837,BIN_1752079,1,1.7111180103647243e-05,CWE-122,0.6336512166902059,0.6336512166902059,0.3015804688583735
BIN_3049998,506,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-126,0.5792393777655093,0.5792393777655093,0.27489020424811184
BIN_4025173,10855,1,CWE-126,1,CWE-122,,10854,BIN_1260116,1,1.7139617781506015e-05,CWE-126,0.5328590457936134,0.5328590457936134,0.32443465222948387
BIN_4615687,4970,1,CWE-126,1,CWE-122,,4967,BIN_2890346,3,1.7139617781506015e-05,CWE-126,0.6000714134342656,0.6000714134342656,0.3032817487004294
BIN_6244783,4961,1,CWE-126,1,CWE-122,,4960,BIN_9870703,1,1.7139617781506015e-05,CWE-122,0.478923227238637,0.44075981553332305,0.478923227238637
BIN_8249526,504,1,CWE-126,1,CWE-121,,505,BIN_2692299,1,1.7772454670776952e-05,CWE-126,0.5100143015251437,0.5100143015251437,0.32876164971104854
BIN_8264883,520,1,CWE-126,1,CWE-121,,519,BIN_3350323,1,1.7772454670776952e-05,CWE-126,0.5977596160143261,0.5977596160143261,0.2722925158208358
BIN_1455492,4916,1,CWE-121,1,CWE-126,,4915,BIN_3772631,1,1.774492225074984e-05,CWE-126,0.4190246168972776,0.41035699915951357,0.4190246168972776
BIN_2254329,525,1,CWE-126,1,CWE-121,,526,BIN_2693860,1,1.7772454670776952e-05,CWE-126,0.6473154898491265,0.6473154898491265,0.19044699361371942
BIN_2334733,4943,1,CWE-126,1,CWE-121,,4942,BIN_2449103,1,1.7772454670776952e-05,CWE-121,0.47888952654147166,0.398062205753488,0.47888952654147166
BIN_2902601,4969,1,CWE-126,1,CWE-122,,4967,BIN_2890346,2,1.7139617781506015e-05,CWE-126,0.6340012491655869,0.6340012491655869,0.2658394674998534
BIN_3790413,517,1,CWE-126,1,CWE-121,,518,BIN_8719707,1,1.7772454670776952e-05,CWE-126,0.6483979357523071,0.6483979357523071,0.22888216235721623
BIN_4198219,10834,1,CWE-122,1,CWE-126,,10833,BIN_9832796,1,1.7111180103647243e-05,CWE-122,0.541261706403387,0.541261706403387,0.39014357895604135
BIN_4280528,4977,1,CWE-126,1,CWE-122,,4976,BIN_4485257,1,1.7139617781506015e-05,CWE-126,0.6135465496919345,0.6135465496919345,0.2910746912617288
BIN_4860053,4966,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-126,0.6076820305378822,0.6076820305378822,0.2880241340767233
BIN_4942051,10844,1,CWE-122,1,CWE-126,,10845,BIN_2396068,1,1.7111180103647243e-05,CWE-122,0.6211873138503391,0.6211873138503391,0.30772681901484916
BIN_8227758,4968,1,CWE-126,1,CWE-122,,4967,BIN_2890346,1,1.7139617781506015e-05,CWE-126,0.576179975330234,0.576179975330234,0.32035572904189685
BIN_9335771,10850,1,CWE-126,1,CWE-122,,10851,BIN_8437590,1,1.7139617781506015e-05,CWE-126,0.5727092975041501,0.5727092975041501,0.2875825501453327
