binary_id,source_id_num,label,cwe_id,key_body_hex,ins_preview,key_type,pred,support,purity,counts,key_loo_acc,key_loo_wrong,key_ins_full,key_op_full,key_ins_tail36,key_ins_tail30,key_ins_tail24,key_ins_tail18,key_marker_tail,key_callseq,key_len_ins_calls
BIN_1041261,23794,1,CWE-191,2f2f6ed18f841b53,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rcx,rax lea:rdx,[rbp-4] lea:rax,[rip+N] mov:r8,rdx mov:rdx,rax call:N mov:eax,dwordptr_[rbp-4] mov:ecx,eax call:N nop: add:rsp,N pop:rbp ret:",key_body_hex,CWE-190,2,1.0,{'CWE-190': 2},0.9740777666999003,26,,,,,,,,,
BIN_1053545,15646,1,CWE-127,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:qwordptr_[rbp+N],0 mov:dwordptr_[rbp+N],0 jmp:N mov:ecx,N call:N mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],0 jne:N mov:ecx,N call:N mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:edx,N mov:rcx,rax call:N mov:rax,qwordptr_[rbp+N] add:rax,N mov:wordptr_[rax],0 mov:rax,qwordptr_[rbp+N] sub:rax,N mov:qwordptr_[rbp+N],rax add:dwordptr_[rbp+N],1 cmp:dwordptr_[rbp+N],0 jle:N lea:rax,[rbp-N] mov:r8d,N mov:edx,N mov:rcx,rax call:N mov:wordptr_[rbp+N],0 lea:rax,[rbp-N] mov:rcx,rax call:N mov:rcx,rax mov:rdx,qwordptr_[rbp+N] lea:rax,[rbp-N] mov:r8,rcx mov:rcx,rax call:N mov:wordptr_[rbp+N],0 lea:rax,[rbp-N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:",key_len_ins_calls,CWE-122,4,1.0,{'CWE-122': 4},0.9334157541504768,377,,,,,,,,,215|50|7|3
BIN_1054379,23928,1,CWE-191,,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],0 mov:dwordptr_[rbp-4],N nop: cmp:dwordptr_[rbp-4],0 jns:N mov:eax,dwordptr_[rbp-4] add:eax,eax mov:dwordptr_[rbp-8],eax mov:eax,dwordptr_[rbp-8] mov:ecx,eax call:N nop: nop: add:rsp,N pop:rbp ret:",key_len_ins_calls,CWE-190,5,1.0,{'CWE-190': 5},0.9334157541504768,377,,,,,,,,,55|19|1|1
BIN_1068651,26633,1,CWE-194,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:wordptr_[rbp+N],0 call:N test:eax,eax je:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N mov:qwordptr_[rbp+N],N lea:rax,[rbp+N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rax,[rbp+N] mov:r8d,N mov:edx,0 mov:rcx,rax call:N mov:wordptr_[rbp+N],2 mov:dwordptr_[rbp+N],0 mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax mov:wordptr_[rbp+N],ax lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N mov:rax,qwordptr_[rbp+N] mov:edx,5 mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N mov:rax,qwordptr_[rbp+N] mov:r8d,0 mov:edx,0 mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r9d,0 mov:r8d,7 mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rbp+N],eax cmp:dwordptr_[rbp+N],-1 je:N cmp:dwordptr_[rbp+N],0 je:N mov:eax,dwordptr_[rbp+N] cdqe: mov:byteptr_[rbp+rax+N],0 lea:rax,[rbp+N] mov:rcx,rax call:N mov:dwordptr_[rbp+N],eax cmp:dwordptr_[rbp+N],N jg:N cmp:dwordptr_[rbp+N],N jge:N mov:wordptr_[rbp+N],N jmp:N mov:eax,dwordptr_[rbp+N] mov:wordptr_[rbp+N],ax jmp:N nop:",key_callseq,CWE-195,2,1.0,{'CWE-195': 2},0.9922970071978785,61,,,,,,,,staticreturnstrue|memset|atoi|memset|strncpy|printline,
BIN_1131828,11078,1,CWE-124,,"push:rbp mov:rbp,rsp sub:rsp,N mov:dwordptr_[rbp-4],N mov:qwordptr_[rbp-N],0 mov:qwordptr_[rbp-N],0 mov:ecx,0 mov:rax,qwordptr_[rip+N] call:rax mov:rdx,rax lea:rax,[rbp-N] mov:r8,rdx mov:edx,N mov:rcx,rax call:N test:rax,rax je:N lea:rax,[rbp-N] mov:rcx,rax call:N mov:dwordptr_[rbp-4],eax jmp:N lea:rax,[rip+N] mov:rcx,rax call:N mov:eax,dwordptr_[rbp-4] mov:dwordptr_[rbp-N],eax mov:eax,dwordptr_[rbp-N] mov:dwordptr_[rbp-N],eax pxor:xmm0,xmm0 movaps:xmmwordptr_[rbp-N],xmm0 movaps:xmmwordptr_[rbp-N],xmm0 movq:qwordptr_[rbp-N],xmm0 cmp:dwordptr_[rbp-N],9 jg:N mov:eax,dwordptr_[rbp-N] cdqe: mov:dwordptr_[rbp+rax*4-N],1 mov:dwordptr_[rbp-8],0 jmp:N mov:eax,dwordptr_[rbp-8] cdqe: mov:eax,dwordptr_[rbp+rax*4-N] mov:ecx,eax call:N add:dwordptr_[rbp-8],1 cmp:dwordptr_[rbp-8],9 jle:N jmp:N lea:rax,[rip+N] mov:rcx,rax call:N nop: add:rsp,N pop:rbp ret:",key_len_ins_calls,CWE-121,2,1.0,{'CWE-121': 2},0.9334157541504768,377,,,,,,,,,212|56|6|6
BIN_1149573,45752,1,CWE-606,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rip-N] mov:qwordptr_[rbp+N],rax mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N mov:qwordptr_[rbp+N],N mov:rax,qwordptr_[rbp+N] mov:rcx,rax call:N mov:qwordptr_[rbp+N],rax lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rax,[rbp+N] mov:r8d,N mov:edx,0 mov:rcx,rax call:N mov:wordptr_[rbp+N],2 mov:dwordptr_[rbp+N],0 mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax mov:wordptr_[rbp+N],ax lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N mov:rax,qwordptr_[rbp+N] mov:edx,5 mov:rcx,rax mov:rax,qwo",key_op_full,CWE-134,2,1.0,{'CWE-134': 2},0.9925788497217068,56,,69dd5ec394c54d0f,,,,,,,
BIN_1149573,45752,1,CWE-606,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rip-N] mov:qwordptr_[rbp+N],rax mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N mov:qwordptr_[rbp+N],N mov:rax,qwordptr_[rbp+N] mov:rcx,rax call:N mov:qwordptr_[rbp+N],rax lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rax,[rbp+N] mov:r8d,N mov:edx,0 mov:rcx,rax call:N mov:wordptr_[rbp+N],2 mov:dwordptr_[rbp+N],0 mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax mov:wordptr_[rbp+N],ax lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N mov:rax,qwordptr_[rbp+N] mov:edx,5 mov:rcx,rax mov:rax,qwo",key_ins_full,CWE-134,2,1.0,{'CWE-134': 2},0.9870514243433223,70,48a6ba3a9cfa125c,,,,,,,,
BIN_1149573,45752,1,CWE-606,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] lea:rax,[rip-N] mov:qwordptr_[rbp+N],rax mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],0 lea:rax,[rbp+N] mov:qwordptr_[rbp+N],rax mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N mov:qwordptr_[rbp+N],N mov:rax,qwordptr_[rbp+N] mov:rcx,rax call:N mov:qwordptr_[rbp+N],rax lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rax,[rbp+N] mov:r8d,N mov:edx,0 mov:rcx,rax call:N mov:wordptr_[rbp+N],2 mov:dwordptr_[rbp+N],0 mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax mov:wordptr_[rbp+N],ax lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N mov:rax,qwordptr_[rbp+N] mov:edx,5 mov:rcx,rax mov:rax,qwo",key_len_ins_calls,CWE-134,2,1.0,{'CWE-134': 2},0.9334157541504768,377,,,,,,,,,1007|171|15|17
BIN_1150247,23581,1,CWE-191,,"push:rbp sub:rsp,N lea:rbp,[rsp+N] mov:dwordptr_[rbp+N],0 mov:eax,1 test:eax,eax je:N mov:dwordptr_[rbp+N],0 mov:qwordptr_[rbp+N],N lea:rax,[rbp-N] mov:rdx,rax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax test:eax,eax jne:N mov:dwordptr_[rbp+N],1 mov:r8d,6 mov:edx,1 mov:ecx,2 mov:rax,qwordptr_[rip+N] call:rax mov:qwordptr_[rbp+N],rax cmp:qwordptr_[rbp+N],-1 je:N lea:rax,[rbp+N] mov:r8d,N mov:edx,0 mov:rcx,rax call:N mov:wordptr_[rbp+N],2 lea:rax,[rip+N] mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rbp+N],eax mov:ecx,N mov:rax,qwordptr_[rip+N] call:rax mov:wordptr_[rbp+N],ax lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:eax,-1 je:N lea:rdx,[rbp+N] mov:rax,qwordptr_[rbp+N] mov:r9d,0 mov:r8d,N mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax mov:dwordptr_[rbp+N],eax cmp:dwordptr_[rbp+N],-1 je:N cmp:dwordptr_[rbp+N],0 je:N mov:eax,dwordptr_[rbp+N] cdqe: mov:byteptr_[rbp+rax+N],0 lea:rax,[rbp+N] mov:rcx,rax call:N mov:dwordptr_[rbp+N],eax jmp:N nop: jmp:N nop: jmp:N nop: cmp:qwordptr_[rbp+N],-1 je:N mov:rax,qwordptr_[rbp+N] mov:rcx,rax mov:rax,qwordptr_[rip+N] call:rax cmp:dwordptr_[rbp+N],0 je:N mov:rax,qwordptr_[rip+N] call:rax mov:eax,1 test:eax,eax je:N mov:eax,dwordptr_[rbp+N] sub:eax,1 mov:dwordptr_[rbp+N],eax mov:eax,dwordptr_[rbp+N]",key_len_ins_calls,CWE-190,2,1.0,{'CWE-190': 2},0.9334157541504768,377,,,,,,,,,465|96|11|12
BIN_1178703,5822,1,CWE-122,,"push:rbp push:rbx sub:rsp,N lea:rbp,[rsp+N] mov:qwordptr_[rbp-8],0 lea:rax,[rbp-8] mov:rcx,rax call:N lea:rax,[rbp-N] mov:r8d,N mov:edx,N mov:rcx,rax call:N mov:byteptr_[rbp-N],0 mov:rax,qwordptr_[rbp-8] mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax],rcx mov:qwordptr_[rax+8],rbx mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax+N],rcx mov:qwordptr_[rax+N],rbx mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax+N],rcx mov:qwordptr_[rax+N],rbx mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax+N],rcx mov:qwordptr_[rax+N],rbx mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax+N],rcx mov:qwordptr_[rax+N],rbx mov:rcx,qwordptr_[rbp-N] mov:rbx,qwordptr_[rbp-N] mov:qwordptr_[rax+N],rcx mov:qwordptr_[rax+N],rbx mov:edx,dwordptr_[rbp-N] mov:dwordptr_[rax+N],edx mov:rax,qwordptr_[rbp-8] add:rax,N mov:byteptr_[rax],0 mov:rax,qwordptr_[rbp-8] mov:rcx,rax call:N mov:rax,qwordptr_[rbp-8] test:rax,rax je:N mov:rax,qwordptr_[rbp-8] mov:rcx,rax call:N nop: add:rsp,N pop:rbx pop:rbp ret:",key_len_ins_calls,CWE-127,2,1.0,{'CWE-127': 2},0.9334157541504768,377,,,,,,,,,224|58|4|1
