binary_id,sid,pred,alt,side,pred_sim,alt_sim,alt_minus_pred,top_pred,top_alt
BIN_3228938,41952,CWE-562,CWE-563,left_to_CWE-563,0.645542562007904,0.7712104320526123,0.12566787004470825,BIN_6494103:41951:0.6455,BIN_6346056:42279:0.7712
BIN_8249526,504,CWE-126,CWE-121,left_to_CWE-121,0.9269747734069824,0.9808555245399475,0.05388075113296509,BIN_2463809:508:0.9270,BIN_2692299:505:0.9809
BIN_8556812,41857,CWE-526,CWE-546,left_to_CWE-546,0.8651845455169678,0.9056406021118164,0.04045605659484863,BIN_6299930:41842:0.8652,BIN_1789203:41947:0.9056
BIN_1574217,41949,CWE-561,CWE-562,left_to_CWE-562,0.5657613277435303,0.5987621545791626,0.033000826835632324,BIN_5614966:41948:0.5658,BIN_6494103:41951:0.5988
BIN_6545696,513,CWE-126,CWE-121,right_from_CWE-121,0.8993620872497559,0.9157089591026306,0.016346871852874756,BIN_3849583:510:0.8994,BIN_4751241:498:0.9157
BIN_1812963,4913,CWE-126,CWE-121,right_from_CWE-121,0.9377855062484741,0.9499232172966003,0.01213771104812622,BIN_8892575:4914:0.9378,BIN_2813467:4912:0.9499
BIN_8681591,511,CWE-126,CWE-121,left_to_CWE-121,0.9293638467788696,0.9378323554992676,0.00846850872039795,BIN_3849583:510:0.9294,BIN_4751241:498:0.9378
BIN_4860053,4966,CWE-126,CWE-122,left_to_CWE-122,0.9664446711540222,0.9747490882873535,0.008304417133331299,BIN_6440355:4965:0.9664,BIN_2890346:4967:0.9747
BIN_4198849,31569,CWE-252,CWE-253,left_to_CWE-253,0.9908433556556702,0.99908447265625,0.008241117000579834,BIN_6845092:31552:0.9908,BIN_6573861:32109:0.9991
BIN_8264883,520,CWE-126,CWE-121,right_from_CWE-121,0.9496033191680908,0.9569113254547119,0.007308006286621094,BIN_8299834:527:0.9496,BIN_3350323:519:0.9569
BIN_4198219,10834,CWE-122,CWE-126,right_from_CWE-126,0.9583856463432312,0.96124666929245,0.00286102294921875,BIN_3881198:10836:0.9584,BIN_9832796:10833:0.9612
BIN_8227758,4968,CWE-126,CWE-122,right_from_CWE-122,0.9621496796607971,0.9649198651313782,0.0027701854705810547,BIN_2308106:4975:0.9621,BIN_2890346:4967:0.9649
BIN_4280528,4977,CWE-126,CWE-122,right_from_CWE-122,0.9662716388702393,0.967930018901825,0.0016583800315856934,BIN_7606177:4963:0.9663,BIN_4485257:4976:0.9679
BIN_5720554,531,CWE-126,CWE-121,left_to_CWE-121,0.9574272632598877,0.9578436017036438,0.0004163384437561035,BIN_1850914:514:0.9574,BIN_7939108:529:0.9578
BIN_4025173,10855,CWE-126,CWE-122,right_from_CWE-122,0.9591727256774902,0.9595451951026917,0.000372469425201416,BIN_4877726:10858:0.9592,BIN_8437590:10851:0.9595
BIN_3790413,517,CWE-126,CWE-121,left_to_CWE-121,0.949128270149231,0.9485412240028381,-0.0005870461463928223,BIN_9164795:522:0.9491,BIN_8719707:518:0.9485
BIN_1455492,4916,CWE-121,CWE-126,right_from_CWE-126,0.9277939796447754,0.9248201251029968,-0.0029738545417785645,BIN_8878834:4918:0.9278,BIN_5186093:4920:0.9248
BIN_6244783,4961,CWE-126,CWE-122,right_from_CWE-122,0.9582977890968323,0.9485794901847839,-0.00971829891204834,BIN_3741859:4944:0.9583,BIN_3485855:4958:0.9486
BIN_2254329,525,CWE-126,CWE-121,left_to_CWE-121,0.9388965368270874,0.9281522035598755,-0.010744333267211914,BIN_7570995:515:0.9389,BIN_7939108:529:0.9282
BIN_2334733,4943,CWE-126,CWE-121,right_from_CWE-121,0.9584696888923645,0.9465084075927734,-0.011961281299591064,BIN_9672431:4926:0.9585,BIN_6228034:4927:0.9465
BIN_6848141,22954,CWE-191,CWE-190,right_from_CWE-190,0.9465353488922119,0.9232518672943115,-0.02328348159790039,BIN_8455169:22956:0.9465,BIN_1497761:19044:0.9233
